"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"Cluster 1","Clustered","9.0","LGMN","false","LGMN"
"Cluster 1","Clustered","10.85897435897436","HLA-DQA2","false","HLA-DQA2"
"Cluster 1","Clustered","10.85897435897436","HLA-DMB","false","HLA-DMB"
"Cluster 1","Clustered","10.85897435897436","HLA-DMA","false","HLA-DMA"
"Cluster 1","Clustered","10.85897435897436","HLA-DRB1","false","HLA-DRB1"
"Cluster 1","Clustered","10.85897435897436","HLA-DQA1","false","HLA-DQA1"
"Cluster 1","Clustered","10.85897435897436","HLA-DQB1","false","HLA-DQB1"
"Cluster 1","Clustered","10.85897435897436","HLA-DPB1","false","HLA-DPB1"
"Cluster 1","Clustered","10.85897435897436","HLA-DRA","false","HLA-DRA"
"Cluster 1","Seed","11.0","HLA-DRB5","false","HLA-DRB5"
"Cluster 1","Clustered","10.85897435897436","HLA-DOA","false","HLA-DOA"
"Cluster 1","Clustered","10.85897435897436","HLA-DQB2","false","HLA-DQB2"
"Cluster 1","Clustered","11.0","CIITA","false","CIITA"
"Cluster 1","Clustered","10.85897435897436","HLA-DPA1","false","HLA-DPA1"
